,user,text,favorite_count,retweet_count,created_at,cleaned_tweet,polarity,subjectivity
86,elonmusk,@BogusThought @SawyerMerritt @rfdctr Maybe the 🐈 got their 👅,4641,259,2022-10-14,maybe got their,0.0,0.0
87,elonmusk,@spideycyp_155 @SawyerMerritt @rfdctr @SpaceX Very few in Iran so far,2454,128,2022-10-14,very few iran so far,-0.08,0.565
88,elonmusk,"@SawyerMerritt Strange that nothing was leaked about our competitors in space launch &amp; communications, Lockheed &amp; Boeing, who get over $60B …

Wouldn’t be surprised to find this particular individual working there when he retires from DoD. Corruption at its finest.",8440,1181,2022-10-14,strange that nothing was leaked about our competitors space launch amp communications lockheed amp boeing who get over 60b wouldn t be surprised find this particular individual working there when he retires dod corruption at its finest,0.05416666666666667,0.4458333333333333
89,elonmusk,"@SawyerMerritt @rfdctr SpaceX is not asking to recoup past expenses, but also cannot fund the existing system indefinitely *and* send several thousand more terminals that have data usage up to 100X greater than typical households. This is unreasonable.",6318,666,2022-10-14,spacex is not asking recoup past expenses but also cannot fund existing system indefinitely send several thousand more terminals that have data usage up 100x greater than typical households this is unreasonable,0.11666666666666667,0.35
90,elonmusk,@MuskUniversity Vital to the future of consciousness,12978,673,2022-10-13,vital future consciousness,0.05,0.2625
91,elonmusk,@andst7 🤣,11885,276,2022-10-13,,0.0,0.0
92,elonmusk,@BogusThought srsly,5838,189,2022-10-13,srsly,0.0,0.0
93,elonmusk,@teslaownersSV @JohnnaCrider1 Next week,3946,204,2022-10-13,next week,0.0,0.0
94,elonmusk,@JohnnaCrider1 Envy has driven him to madness,27101,1190,2022-10-13,envy has driven him madness,0.0,0.0
95,elonmusk,"@leehumerian Starlink requires nothing except ~50 Watt power source. With a small solar system plus battery or a generator, you will have connectivity anywhere.",3273,234,2022-10-13,starlink requires nothing except 50 watt power source with small solar system plus battery or generator you will have connectivity anywhere,-0.25,0.4
96,elonmusk,@OwenSparks_ @spideycyp_155 @FedorovMykhailo @SpaceX True,2189,81,2022-10-13,true,0.35,0.65
97,elonmusk,@spideycyp_155 @FedorovMykhailo @SpaceX There are some active terminals,4581,762,2022-10-13,there are some active terminals,-0.13333333333333333,0.6
98,elonmusk,"@spideycyp_155 @FedorovMykhailo @SpaceX Of course, this happens almost every day. They successfully destroyed Viasat in Ukraine several months ago. https://t.co/xrrAMqfsZY",1325,100,2022-10-13,course this happens almost every day they successfully destroyed viasat ukraine several months ago,0.375,0.475
99,elonmusk,"@spideycyp_155 @FedorovMykhailo @SpaceX Starlink has faced relentless jamming attacks &amp; SpaceX relentless cyberwar. So far, their success has been limited.",3304,324,2022-10-13,starlink has faced relentless jamming attacks amp spacex relentless cyberwar so far their success has been limited,0.10952380952380954,0.38095238095238093
